द्रव्य,dravya
गुण,gun
सामन्यगुण,samanyaguna
विशेषगुण,visheshagun
अस्तित्वगुण,astitvagun
वस्तुत्वगुण,vastutvaguna
द्रव्यत्वगुण,dravyatvagun
प्रमेयत्वगुण,prameyatvagun
अगुरुलघुत्वगुण,agurulghutwagun
प्रदेशत्वगुण,pradeshatvagun
जीवद्रव्य,jeevdravya
पुदगलद्रव्य,pudgaldrawya
परमाणु,parmanu
स्कन्ध,skandh
बंध,bandh
आहारवर्गणा,aharavargana
औदारिक,audarik
शरीर,sharir
वैक्रियिकशरीर,vacriacasherier
आहारकशरीर,aharkashrier
तैजसवर्गणा,taijasavargana
भाषावर्गणा,bhashavargana
कार्मणवर्गणा,karmanavargana
मनोवर्गणा,manovargana
कार्मणशरीर,karmansharir
तैजस,taijas
धर्मद्रव्य,dharmadravy
अधर्मद्रव्य,adharmadravy
आकाशद्रव्य,akashadravy
कालद्रव्य,caldravy
निश्चयकाल,nishchayakal
व्यवहारकाल,vyavaharakal
पर्याय,paryay
व्यञ्जनपर्याय,vyanjanaparyaya
व्यंजनपर्याय,vyanjanaparyaya
स्वाभावव्यञ्जनपर्याय,svabhavavyanjanaparya
विभावव्यञ्जनपर्याय,vibhavavyanjanaparyay
अर्थपर्याय,arthaparyay
स्वभावअर्थपर्याय,svabhavarthaparyaya
विभावअर्थपर्याय,vibhavarthaparyaya
उत्पाद,utpad
व्यय,vyay
ध्रौव्य,dhrauvya
द्रव्यो,dravyo
आकाश,aakash
लोकाकाश,lokakash
अलोकाकाश,alokakash
लोक,lok
धर्म,dharm
प्रदेश,pradesh
पुदगल,pudgal
जीव,jiva
समुद्घात,samudghat
अस्तिकाय,astikaya
अनुजीवी,anujivi
प्रतिजीवी,pratijivi
अभाव,abhav
प्रागभाव,pragbhav
प्रध्वंसाभाव,pradhvansabhav
अन्योन्याभाव,anyonyabhav
अत्यन्ताभाव,atyantabhav
चेतना,chetna
दर्शनचेतना,darshanchetna
महासत्ता,mahasatta
ज्ञानचेतना,jnanchetna
अवान्तरसत्ता,avantarasatta
मतिज्ञान,matigyan
परोक्षमतिज्ञान,parokshamatijnan
अवग्रह,avgrah
ईहा,eeha
अवाय,avay
धारणा,dharana
अवग्रहादिक,avagrahadik
अर्थावग्रह,arthavagraha
व्यञ्जनावग्रह,vyanjanavagrah
व्यक्त,vyakt
अव्यक्त,avyakt
श्रुतज्ञान,shrutajnan
दर्शन,darshan
चक्षुदर्शन,chakshudarshan
अचक्षुदर्शन,achakshudarshan
अवधिदर्शन,avadhidarshan
केवलदर्शन,kevaladarshan
सम्यक्त्वगुण,samyaktvaguna
चारित्र,charitra
बाह्य,bahy
क्रिया,kriya
आभ्यन्तर,abhyantar
योग,yoga
कषाय,kashay
स्वरूपाचरणचारित्र,svaroopacharanacharit
देशचारित्र,deshcharitra
सकलचारित्र,sakalacharitra
यथाख्यातचारित्र,yathakhyatcharitra
सुख,sukh
वीर्य,veery
भव्यत्वगुण,bhavyatvaguna
अभव्यत्वगुण,abhavyatvagun
जीवत्वगुण,jeevatvagun
प्राण,pran
द्रव्यप्राण,dravyapran
भावप्राण,bhavapran
भावेन्द्रिय,bhavendriya
बलप्राण,balpran
वैभाविकगुण,vaibhavikgun
अव्याबाध,avyabadh
प्रतिजीवीगुण,pratijiveegun
अवगाह,avagah
अगुरुलघुत्व,agurulghutv
सूक्ष्मत्व,sookshmatv
संसारी,sansari
मुक्त,mukt
कर्म,karma
बन्ध,bandh
प्रकृतिबन्ध,prakritibandh
ज्ञानावरण,gyanavaran
दर्शनावरण,darshanavaran
वेदनीय,vedania
मोहनीय,mohania
दर्शनमोहनीय,darshanmohaniy
मिथ्यात्व,mithyatv
सम्यग्मिथ्यात्व,samyagmithyatva
सम्यकप्रकृति,samyakaprakriti
चारित्रमोहनीय,charitramohaniy
नोकषाय,nokshay
अनन्तानुबंधी,ananthanubandhi
क्रोध,krodh
मान,mann
माया,maya
लोभ,lobh
अप्रत्याख्यानावरण,apratyakhyanavaran
प्रत्याख्यानावरण,pratyakhyanavaran
संज्वलन,sanjvalan
आयुकर्म,ayukarma
नामकर्म,namakarm
गति,gati
जाति,jati
​अङ्गोपांङ्ग,angopanng
निर्माण,nirmana
बन्धन,bandhan
संघात,sanghat
संस्थान,sansthan
समचतुरस्त्र,samachaturastra
न्यग्रोधपरिमण्डल,nygrodhaprimandal
स्वाति,swati
कुब्जक,kubjak
वामन,waman
हुंडक,hundak
संहनन,samhanan
वज्रऋषभनाराच,vazrushabhnarach
वज्रनाराच,vajranarach
नाराच,narach
अर्द्धनाराच,arddhanarach
कीलक,kilak
असंप्राप्तासृपाटिका,asampraptasripatika
वर्ण,varn
गन्ध,gandh
रस,rasa
स्पर्श,sparsh
आनुपूवर्य,anupoovarya
अगुरुलघु,agurulaghu
उपघात,upaghat
