ap001_ashtpahud_1970_71.mp3 - ['001', '01 Darshan Pahud', '1-2', 'Guj', None, None]
ap002_ashtpahud_1970_71.mp3 - ['002', '01 Darshan Pahud', '2', 'Guj', None, None]
ap003_ashtpahud_1970_71.mp3 - ['003', '01 Darshan Pahud', '2', 'Guj', None, None]
ap004_ashtpahud_1970_71.mp3 - ['004', '01 Darshan Pahud', '2', 'Guj', None, None]
ap005_ashtpahud_1970_71.mp3 - ['005', '01 Darshan Pahud', '2', 'Guj', None, None]
ap006_ashtpahud_1970_71.mp3 - ['006', '01 Darshan Pahud', '2', 'Guj', None, None]
ap007_ashtpahud_1970_71.mp3 - ['007', '01 Darshan Pahud', '2', 'Guj', None, None]
ap008_ashtpahud_1970_71.mp3 - ['008', '01 Darshan Pahud', '2-3', 'Guj', None, None]
ap009_ashtpahud_1970_71.mp3 - ['009', '01 Darshan Pahud', '3-4', 'Guj', None, None]
ap010_ashtpahud_1970_71.mp3 - ['010', '01 Darshan Pahud', '5-7', 'Guj', None, None]
ap012_ashtpahud_1970_71.mp3 - ['013', '01 Darshan Pahud', '11-13', 'Guj', None, None]
ap013_ashtpahud_1970_71.mp3 - ['014', '01 Darshan Pahud', '13-15', 'Guj', None, None]
ap014_ashtpahud_1970_71.mp3 - ['015', '01 Darshan Pahud', '16-17', 'Guj', None, None]
ap015_ashtpahud_1970_71.mp3 - ['016', '01 Darshan Pahud', '18-20', 'Guj', None, None]
ap016_ashtpahud_1970_71.mp3 - ['017', '01 Darshan Pahud', '21-23', 'Guj', None, None]
ap017_ashtpahud_1970_71.mp3 - ['018', '01 Darshan Pahud', '24-26', 'Guj', None, None]
ap018_ashtpahud_1970_71.mp3 - ['019', '01 Darshan Pahud', '26-28', 'Guj', None, None]
ap019_ashtpahud_1970_71.mp3 - ['020', '01 Darshan Pahud', '29-31', 'Guj', None, None]
ap020_ashtpahud_1970_71.mp3 - ['021', '01 Darshan Pahud', '32-34', 'Guj', None, None]
ap021_ashtpahud_1970_71.mp3 - ['022', '01 Darshan Pahud', '35-36', 'Guj', '02 Sutra Pahud', '1']
apt017_ashtpahud_1973_74.mp3 - ['011', '01 Darshan Pahud', '8', 'Guj', None, None]
apt018_ashtpahud_1973_74.mp3 - ['012', '01 Darshan Pahud', '8-10', 'Guj', None, None]
ap022_ashtpahud_1970_71.mp3 - ['023', '02 Sutra Pahud', '1-3', 'Guj', None, None]
ap023_ashtpahud_1970_71.mp3 - ['024', '02 Sutra Pahud', '3-4', 'Guj', None, None]
ap024_ashtpahud_1970_71.mp3 - ['025', '02 Sutra Pahud', '4-6', 'Guj', None, None]
ap025_ashtpahud_1970_71.mp3 - ['026', '02 Sutra Pahud', '6', 'Guj', None, None]
ap026_ashtpahud_1970_71.mp3 - ['027', '02 Sutra Pahud', '6', 'Guj', None, None]
ap027_ashtpahud_1970_71.mp3 - ['028', '02 Sutra Pahud', '6', 'Guj', None, None]
ap028_ashtpahud_1970_71.mp3 - ['029', '02 Sutra Pahud', '6', 'Guj', None, None]
ap029_ashtpahud_1970_71.mp3 - ['030', '02 Sutra Pahud', '7-9', 'Guj', None, None]
ap030_ashtpahud_1970_71.mp3 - ['031', '02 Sutra Pahud', '10-13', 'Guj', None, None]
ap031_ashtpahud_1970_71.mp3 - ['032', '02 Sutra Pahud', '14-17', 'Guj', None, None]
